char,hex,glyph
暴,U+66B4,1344
条,U+6761,1345
根,U+6839,1346
欸,U+6B38,1347
涅,U+6D85,1348
涡,U+6DA1,1349
漩,U+6F29,1350
烈,U+70C8,1351
绘,U+7ED8,1352
耀,U+8000,1353
股,U+80A1,1354
胆,U+80C6,1355
蚪,U+86AA,1356
蝌,U+874C,1357
衡,U+8861,1358
追,U+8FFD,1359
霜,U+971C,1360
习,U+4E60,1361
价,U+4EF7,1362
呆,U+5446,1363
嘟,U+561F,1364
怖,U+6016,1365
悠,U+60A0,1366
排,U+6392,1367
摔,U+6454,1368
末,U+672B,1369
段,U+6BB5,1370
滴,U+6EF4,1371
猛,U+731B,1372
糟,U+7CDF,1373
约,U+7EA6,1374
脱,U+8131,1375
蜍,U+870D,1376
蜡,U+8721,1377
蟾,U+87FE,1378
诉,U+8BC9,1379
退,U+9000,1380
铃,U+94C3,1381
餐,U+9910,1382
募,U+52DF,1383
及,U+53CA,1384
另,U+53E6,1385
咻,U+54BB,1386
响,U+54CD,1387
嘴,U+5634,1388
块,U+5757,1389
套,U+5957,1390
宁,U+5B81,1391
宋,U+5B8B,1392
忙,U+5FD9,1393
悲,U+60B2,1394
戒,U+6212,1395
板,U+677F,1396
燃,U+71C3,1397
疑,U+7591,1398
祭,U+796D,1399
糕,U+7CD5,1400
考,U+8003,1401
聚,U+805A,1402
蕉,U+8549,1403
论,U+8BBA,1404
证,U+8BC1,1405
谓,U+8C13,1406
邦,U+90A6,1407
万,U+4E07,1408
具,U+5177,1409
冷,U+51B7,1410
即,U+5373,1411
啧,U+5567,1412
啰,U+5570,1413
奶,U+5976,1414
嫌,U+5ACC,1415
尾,U+5C3E,1416
局,U+5C40,1417
属,U+5C5E,1418
山,U+5C71,1419
担,U+62C5,1420
捨,U+6368,1421
掌,U+638C,1422
推,U+63A8,1423
旁,U+65C1,1424
档,U+6863,1425
毛,U+6BDB,1426
牛,U+725B,1427
珠,U+73E0,1428
瑞,U+745E,1429
甲,U+7532,1430
累,U+7D2F,1431
莎,U+838E,1432
薯,U+85AF,1433
遍,U+904D,1434
采,U+91C7,1435
零,U+96F6,1436
鼹,U+9F39,1437
余,U+4F59,1438
凭,U+51ED,1439
划,U+5212,1440
剩,U+5269,1441
呃,U+5443,1442
咔,U+5494,1443
咚,U+549A,1444
咦,U+54A6,1445
她,U+5979,1446
妻,U+59BB,1447
封,U+5C01,1448
异,U+5F02,1449
或,U+6216,1450
抖,U+6296,1451
杯,U+676F,1452
沉,U+6C89,1453
烧,U+70E7,1454
甜,U+751C,1455
病,U+75C5,1456
百,U+767E,1457
缘,U+7F18,1458
至,U+81F3,1459
逊,U+900A,1460
骗,U+9A97,1461
骷,U+9AB7,1462
髅,U+9AC5,1463
丝,U+4E1D,1464
净,U+51C0,1465
劳,U+52B3,1466
圆,U+5706,1467
憧,U+61A7,1468
憬,U+61AC,1469
扫,U+626B,1470
撑,U+6491,1471
朗,U+6717,1472
楚,U+695A,1473
源,U+6E90,1474
略,U+7565,1475
碎,U+788E,1476
糖,U+7CD6,1477
蠢,U+8822,1478
词,U+8BCD,1479
货,U+8D27,1480
醒,U+9192,1481
鉴,U+9274,1482
闭,U+95ED,1483
产,U+4EA7,1484
京,U+4EAC,1485
但,U+4F46,1486
佩,U+4F69,1487
喊,U+558A,1488
坠,U+5760,1489
域,U+57DF,1490
境,U+5883,1491
奏,U+594F,1492
寂,U+5BC2,1493
岛,U+5C9B,1494
材,U+6750,1495
横,U+6A2A,1496
治,U+6CBB,1497
狂,U+72C2,1498
砸,U+7838,1499
箭,U+7BAD,1500
观,U+89C2,1501
赚,U+8D5A,1502
轰,U+8F70,1503
镰,U+9570,1504
闹,U+95F9,1505
饿,U+997F,1506
骨,U+9AA8,1507
黄,U+9EC4,1508
仇,U+4EC7,1509
叹,U+53F9,1510
哔,U+54D4,1511
帽,U+5E3D,1512
广,U+5E7F,1513
序,U+5E8F,1514
杜,U+675C,1515
涂,U+6D82,1516
潮,U+6F6E,1517
耗,U+8017,1518
胡,U+80E1,1519
菲,U+83F2,1520
谅,U+8C05,1521
贺,U+8D3A,1522
轮,U+8F6E,1523
闻,U+95FB,1524
阱,U+9631,1525
颤,U+98A4,1526
减,U+51CF,1527
刻,U+523B,1528
剧,U+5267,1529
厄,U+5384,1530
嗒,U+55D2,1531
奖,U+5956,1532
恼,U+607C,1533
惯,U+60EF,1534
摸,U+6478,1535
擦,U+64E6,1536
敢,U+6562,1537
晕,U+6655,1538
棒,U+68D2,1539
歼,U+6B7C,1540
猜,U+731C,1541
笨,U+7B28,1542
策,U+7B56,1543
缠,U+7F20,1544
翻,U+7FFB,1545
规,U+89C4,1546
镜,U+955C,1547
隆,U+9686,1548
隐,U+9690,1549
鲸,U+9CB8,1550
严,U+4E25,1551
付,U+4ED8,1552
众,U+4F17,1553
借,U+501F,1554
噢,U+5662,1555
坐,U+5750,1556
增,U+589E,1557
宠,U+5BA0,1558
宿,U+5BBF,1559
念,U+5FF5,1560
惊,U+60CA,1561
扇,U+6247,1562
抹,U+62B9,1563
敲,U+6572,1564
料,U+6599,1565
旋,U+65CB,1566
晶,U+6676,1567
析,U+6790,1568
楼,U+697C,1569
混,U+6DF7,1570
溜,U+6E9C,1571
爪,U+722A,1572
端,U+7AEF,1573
翁,U+7FC1,1574
翅,U+7FC5,1575
蜜,U+871C,1576
蠕,U+8815,1577
赠,U+8D60,1578
蹦,U+8E66,1579
蹭,U+8E6D,1580
遗,U+9057,1581
雨,U+96E8,1582
雪,U+96EA,1583
项,U+9879,1584
举,U+4E3E,1585
健,U+5065,1586
傅,U+5085,1587
六,U+516D,1588
刃,U+5203,1589
右,U+53F3,1590
吹,U+5439,1591
夸,U+5938,1592
夹,U+5939,1593
寞,U+5BDE,1594
店,U+5E97,1595
悔,U+6094,1596
挠,U+6320,1597
揍,U+63CD,1598
昼,U+663C,1599
柄,U+67C4,1600
案,U+6848,1601
池,U+6C60,1602
淡,U+6DE1,1603
版,U+7248,1604
献,U+732E,1605
磨,U+78E8,1606
稽,U+7A3D,1607
缺,U+7F3A,1608
联,U+8054,1609
般,U+822C,1610
蝇,U+8747,1611
踊,U+8E0A,1612
野,U+91CE,1613
阻,U+963B,1614
骰,U+9AB0,1615
黾,U+9EFE,1616
专,U+4E13,1617
伐,U+4F10,1618
依,U+4F9D,1619
充,U+5145,1620
养,U+517B,1621
冒,U+5192,1622
凑,U+51D1,1623
判,U+5224,1624
勒,U+52D2,1625
卵,U+5375,1626
卸,U+5378,1627
叽,U+53FD,1628
啥,U+5565,1629
喵,U+55B5,1630
嚯,U+56AF,1631
困,U+56F0,1632
展,U+5C55,1633
归,U+5F52,1634
惨,U+60E8,1635
慎,U+614E,1636
戴,U+6234,1637
扁,U+6241,1638
扮,U+626E,1639
抗,U+6297,1640
挡,U+6321,1641
握,U+63E1,1642
显,U+663E,1643
智,U+667A,1644
毁,U+6BC1,1645
洞,U+6D1E,1646
淋,U+6DCB,1647
漏,U+6F0F,1648
盔,U+76D4,1649
短,U+77ED,1650
积,U+79EF,1651
稳,U+7A33,1652
耶,U+8036,1653
荒,U+8352,1654
蔫,U+852B,1655
补,U+8865,1656
谈,U+8C08,1657
赖,U+8D56,1658
车,U+8F66,1659
辈,U+8F88,1660
返,U+8FD4,1661
郎,U+90CE,1662
震,U+9707,1663
飘,U+98D8,1664
五,U+4E94,1665
仅,U+4EC5,1666
冯,U+51AF,1667
凶,U+51F6,1668
刷,U+5237,1669
句,U+53E5,1670
司,U+53F8,1671
咱,U+54B1,1672
咳,U+54B3,1673
固,U+56FA,1674
央,U+592E,1675
娜,U+5A1C,1676
尝,U+5C1D,1677
左,U+5DE6,1678
幸,U+5E78,1679
恨,U+6068,1680
恰,U+6070,1681
愚,U+611A,1682
房,U+623F,1683
揭,U+63ED,1684
易,U+6613,1685
曾,U+66FE,1686
村,U+6751,1687
杠,U+6760,1688
梯,U+68AF,1689
汪,U+6C6A,1690
洛,U+6D1B,1691
浇,U+6D47,1692
浴,U+6D74,1693
炮,U+70AE,1694
琴,U+7434,1695
田,U+7530,1696
疲,U+75B2,1697
痒,U+75D2,1698
碗,U+7897,1699
秀,U+79C0,1700
竖,U+7AD6,1701
篇,U+7BC7,1702
簌,U+7C0C,1703
缝,U+7F1D,1704
腰,U+8170,1705
艘,U+8258,1706
虚,U+865A,1707
蛆,U+86C6,1708
蝙,U+8759,1709
蝠,U+8760,1710
询,U+8BE2,1711
谎,U+8C0E,1712
贼,U+8D3C,1713
距,U+8DDD,1714
踏,U+8E0F,1715
踩,U+8E29,1716
躲,U+8EB2,1717
醉,U+9189,1718
附,U+9644,1719
鲜,U+9C9C,1720
予,U+4E88,1721
侍,U+4F8D,1722
侵,U+4FB5,1723
励,U+52B1,1724
区,U+533A,1725
厚,U+539A,1726
哑,U+54D1,1727
哒,U+54D2,1728
唐,U+5510,1729
嗡,U+55E1,1730
坚,U+575A,1731
埋,U+57CB,1732
奉,U+5949,1733
妆,U+5986,1734
寄,U+5BC4,1735
尿,U+5C3F,1736
屁,U+5C41,1737
录,U+5F55,1738
忌,U+5FCC,1739
怜,U+601C,1740
惹,U+60F9,1741
慌,U+614C,1742
抵,U+62B5,1743
敬,U+656C,1744
歪,U+6B6A,1745
民,U+6C11,1746
洋,U+6D0B,1747
渐,U+6E10,1748
烂,U+70C2,1749
焰,U+7130,1750
爽,U+723D,1751
痰,U+75F0,1752
符,U+7B26,1753
筒,U+7B52,1754
紫,U+7D2B,1755
绷,U+7EF7,1756
肥,U+80A5,1757
胖,U+80D6,1758
药,U+836F,1759
蛇,U+86C7,1760
衣,U+8863,1761
裹,U+88F9,1762
讲,U+8BB2,1763
误,U+8BEF,1764
购,U+8D2D,1765
鉾,U+927E,1766
阳,U+9633,1767
阴,U+9634,1768
隔,U+9694,1769
鞭,U+97AD,1770
饶,U+9976,1771
鯱,U+9BF1,1772
齿,U+9F7F,1773
互,U+4E92,1774
仪,U+4EEA,1775
千,U+5343,1776
叭,U+53ED,1777
叮,U+53EE,1778
呛,U+545B,1779
嚓,U+5693,1780
垒,U+5792,1781
尖,U+5C16,1782
康,U+5EB7,1783
弯,U+5F2F,1784
忆,U+5FC6,1785
愈,U+6108,1786
扭,U+626D,1787
拖,U+62D6,1788
探,U+63A2,1789
掩,U+63A9,1790
摄,U+6444,1791
景,U+666F,1792
替,U+66FF,1793
染,U+67D3,1794
检,U+68C0,1795
樱,U+6A31,1796
洗,U+6D17,1797
浸,U+6D78,1798
涉,U+6D89,1799
犯,U+72AF,1800
班,U+73ED,1801
瞧,U+77A7,1802
碌,U+788C,1803
碍,U+788D,1804
稀,U+7A00,1805
素,U+7D20,1806
纪,U+7EAA,1807
网,U+7F51,1808
罪,U+7F6A,1809
虾,U+867E,1810
蛛,U+86DB,1811
蜘,U+8718,1812
覆,U+8986,1813
览,U+89C8,1814
详,U+8BE6,1815
豪,U+8C6A,1816
跤,U+8DE4,1817
辣,U+8FA3,1818
适,U+9002,1819
遥,U+9065,1820
遭,U+906D,1821
钟,U+949F,1822
钢,U+94A2,1823
际,U+9645,1824
陛,U+965B,1825
饮,U+996E,1826
驱,U+9A71,1827
鸦,U+9E26,1828
偏,U+504F,1829
刮,U+522E,1830
北,U+5317,1831
咒,U+5492,1832
喇,U+5587,1833
喔,U+5594,1834
嘞,U+561E,1835
坑,U+5751,1836
坦,U+5766,1837
堂,U+5802,1838
壳,U+58F3,1839
妥,U+59A5,1840
妨,U+59A8,1841
室,U+5BA4,1842
尘,U+5C18,1843
崩,U+5D29,1844
恒,U+6052,1845
惜,U+60DC,1846
扩,U+6269,1847
択,U+629E,1848
押,U+62BC,1849
拯,U+62EF,1850
挂,U+6302,1851
振,U+632F,1852
捉,U+6349,1853
授,U+6388,1854
搅,U+6405,1855
撕,U+6495,1856
昏,U+660F,1857
暂,U+6682,1858
欺,U+6B3A,1859
歇,U+6B47,1860
残,U+6B8B,1861
毕,U+6BD5,1862
気,U+6C17,1863
泉,U+6CC9,1864
洒,U+6D12,1865
灌,U+704C,1866
猴,U+7334,1867
疗,U+7597,1868
瘪,U+762A,1869
登,U+767B,1870
盾,U+76FE,1871
砍,U+780D,1872
祝,U+795D,1873
窝,U+7A9D,1874
筏,U+7B4F,1875
签,U+7B7E,1876
背,U+80CC,1877
胸,U+80F8,1878
脏,U+810F,1879
腹,U+8179,1880
腿,U+817F,1881
舌,U+820C,1882
范,U+8303,1883
茸,U+8338,1884
荡,U+8361,1885
萝,U+841D,1886
蛙,U+86D9,1887
螺,U+87BA,1888
谱,U+8C31,1889
豹,U+8C79,1890
责,U+8D23,1891
贵,U+8D35,1892
辞,U+8F9E,1893
违,U+8FDD,1894
顾,U+987E,1895
驾,U+9A7E,1896
丑,U+4E11,1897
亏,U+4E8F,1898
井,U+4E95,1899
享,U+4EAB,1900
仿,U+4EFF,1901
傲,U+50B2,1902
典,U+5178,1903
则,U+5219,1904
勉,U+52C9,1905
叉,U+53C9,1906
吊,U+540A,1907
否,U+5426,1908
咿,U+54BF,1909
哆,U+54C6,1910
哩,U+54E9,1911
唯,U+552F,1912
喱,U+55B1,1913
嗬,U+55EC,1914
嘣,U+5623,1915
园,U+56ED,1916
娘,U+5A18,1917
寒,U+5BD2,1918
帝,U+5E1D,1919
庆,U+5E86,1920
愉,U+6109,1921
懒,U+61D2,1922
扰,U+6270,1923
披,U+62AB,1924
拒,U+62D2,1925
拧,U+62E7,1926
捡,U+6361,1927
控,U+63A7,1928
掷,U+63B7,1929
摩,U+6469,1930
擎,U+64CE,1931
枢,U+67A2,1932
桃,U+6843,1933
棉,U+68C9,1934
様,U+69D8,1935
歹,U+6B79,1936
況,U+6CC1,1937
泄,U+6CC4,1938
泳,U+6CF3,1939
泽,U+6CFD,1940
渣,U+6E23,1941
澡,U+6FA1,1942
烫,U+70EB,1943
爬,U+722C,1944
牲,U+7272,1945
牺,U+727A,1946
犹,U+72B9,1947
率,U+7387,1948
琳,U+7433,1949
甘,U+7518,1950
甩,U+7529,1951
盛,U+76DB,1952
眉,U+7709,1953
矩,U+77E9,1954
祸,U+7978,1955
私,U+79C1,1956
穴,U+7A74,1957
笛,U+7B1B,1958
答,U+7B54,1959
缩,U+7F29,1960
群,U+7FA4,1961
翼,U+7FFC,1962
肖,U+8096,1963
肩,U+80A9,1964
脆,U+8106,1965
腐,U+8150,1966
腾,U+817E,1967
致,U+81F4,1968
舍,U+820D,1969
舱,U+8231,1970
船,U+8239,1971
艺,U+827A,1972
虑,U+8651,1973
蜂,U+8702,1974
融,U+878D,1975
裤,U+88E4,1976
豫,U+8C6B,1977
贯,U+8D2F,1978
迹,U+8FF9,1979
锻,U+953B,1980
镖,U+9556,1981
闯,U+95EF,1982
颊,U+988A,1983
饰,U+9970,1984
馅,U+9985,1985
鲔,U+9C94,1986
鲣,U+9CA3,1987
鳞,U+9CDE,1988
丧,U+4E27,1989
乡,U+4E61,1990
亡,U+4EA1,1991
仆,U+4EC6,1992
伏,U+4F0F,1993
伟,U+4F1F,1994
佣,U+4F63,1995
佳,U+4F73,1996
免,U+514D,1997
午,U+5348,1998
叛,U+53DB,1999
含,U+542B,2000
呸,U+5478,2001
哀,U+54C0,2002
哨,U+54E8,2003
嗷,U+55F7,2004
噩,U+5669,2005
囔,U+56D4,2006
垮,U+57AE,2007
城,U+57CE,2008
奋,U+594B,2009
姨,U+59E8,2010
姫,U+59EB,2011
宜,U+5B9C,2012
审,U+5BA1,2013
幕,U+5E55,2014
床,U+5E8A,2015
废,U+5E9F,2016
延,U+5EF6,2017
彼,U+5F7C,2018
徊,U+5F8A,2019
徒,U+5F92,2020
徘,U+5F98,2021
怨,U+6028,2022
憎,U+618E,2023
憾,U+61BE,2024
抛,U+629B,2025
拟,U+62DF,2026
拾,U+62FE,2027
捏,U+634F,2028
捞,U+635E,2029
搜,U+641C,2030
斩,U+65A9,2031
昔,U+6614,2032
梗,U+6897,2033
棍,U+68CD,2034
槌,U+69CC,2035
汗,U+6C57,2036
汝,U+6C5D,2037
沃,U+6C83,2038
泪,U+6CEA,2039
津,U+6D25,2040
涨,U+6DA8,2041
溅,U+6E85,2042
溢,U+6EA2,2043
溺,U+6EBA,2044
滋,U+6ECB,2045
炫,U+70AB,2046
珍,U+73CD,2047
疯,U+75AF,2048
码,U+7801,2049
社,U+793E,2050
窒,U+7A92,2051
簧,U+7C27,2052
织,U+7EC7,2053
罚,U+7F5A,2054
罢,U+7F62,2055
育,U+80B2,2056
胳,U+80F3,2057
臣,U+81E3,2058
荐,U+8350,2059
蒿,U+84BF,2060
螂,U+8782,2061
蟑,U+87D1,2062
裁,U+88C1,2063
诅,U+8BC5,2064
谋,U+8C0B,2065
貌,U+8C8C,2066
跃,U+8DC3,2067
跨,U+8DE8,2068
辑,U+8F91,2069
逛,U+901B,2070
逼,U+903C,2071
邀,U+9080,2072
酷,U+9177,2073
酸,U+9178,2074
钦,U+94A6,2075
键,U+952E,2076
锯,U+952F,2077
额,U+989D,2078
驶,U+9A76,2079
骂,U+9A82,2080
魅,U+9B45,2081
乖,U+4E56,2082
介,U+4ECB,2083
仰,U+4EF0,2084
企,U+4F01,2085
例,U+4F8B,2086
俯,U+4FEF,2087
兼,U+517C,2088
凝,U+51DD,2089
刊,U+520A,2090
剃,U+5243,2091
剥,U+5265,2092
剪,U+526A,2093
割,U+5272,2094
厅,U+5385,2095
叠,U+53E0,2096
咸,U+54B8,2097
哧,U+54E7,2098
啤,U+5564,2099
啵,U+5575,2100
嗓,U+55D3,2101
嗝,U+55DD,2102
嗦,U+55E6,2103
嗨,U+55E8,2104
噌,U+564C,2105
圈,U+5708,2106
塑,U+5851,2107
寓,U+5BD3,2108
屎,U+5C4E,2109
岂,U+5C82,2110
岔,U+5C94,2111
峰,U+5CF0,2112
市,U+5E02,2113
幅,U+5E45,2114
廉,U+5EC9,2115
弓,U+5F13,2116
弦,U+5F26,2117
彗,U+5F57,2118
彻,U+5F7B,2119
忠,U+5FE0,2120
忽,U+5FFD,2121
恕,U+6055,2122
悦,U+60A6,2123
惧,U+60E7,2124
愤,U+6124,2125
慧,U+6167,2126
戳,U+6233,2127
户,U+6237,2128
拓,U+62D3,2129
挖,U+6316,2130
挤,U+6324,2131
揉,U+63C9,2132
携,U+643A,2133
敗,U+6557,2134
晓,U+6653,2135
构,U+6784,2136
枯,U+67AF,2137
栏,U+680F,2138
树,U+6811,2139
栗,U+6817,2140
桩,U+6869,2141
棋,U+68CB,2142
棘,U+68D8,2143
棺,U+68FA,2144
橘,U+6A58,2145
款,U+6B3E,2146
殖,U+6B96,2147
氛,U+6C1B,2148
汇,U+6C47,2149
沟,U+6C9F,2150
沿,U+6CBF,2151
泌,U+6CCC,2152
浆,U+6D46,2153
浩,U+6D69,2154
滞,U+6EDE,2155
灰,U+7070,2156
炒,U+7092,2157
焉,U+7109,2158
狼,U+72FC,2159
疏,U+758F,2160
癖,U+7656,2161
盗,U+76D7,2162
盹,U+76F9,2163
省,U+7701,2164
禁,U+7981,2165
秒,U+79D2,2166
窥,U+7AA5,2167
筑,U+7B51,2168
纹,U+7EB9,2169
纽,U+7EBD,2170
绞,U+7EDE,2171
缎,U+7F0E,2172
羊,U+7F8A,2173
耍,U+800D,2174
耳,U+8033,2175
胞,U+80DE,2176
腕,U+8155,2177
芋,U+828B,2178
蕾,U+857E,2179
蛮,U+86EE,2180
蝾,U+877E,2181
裸,U+88F8,2182
誓,U+8A93,2183
诱,U+8BF1,2184
财,U+8D22,2185
贪,U+8D2A,2186
趟,U+8D9F,2187
趴,U+8DB4,2188
跪,U+8DEA,2189
蹑,U+8E51,2190
载,U+8F7D,2191
迟,U+8FDF,2192
迸,U+8FF8,2193
逅,U+9005,2194
避,U+907F,2195
邂,U+9082,2196
邮,U+90AE,2197
陪,U+966A,2198
鞋,U+978B,2199
顶,U+9876,2200
颠,U+98A0,2201
饼,U+997C,2202
馒,U+9992,2203
鲍,U+9C8D,2204
鲑,U+9C91,2205
鳗,U+9CD7,2206
丸,U+4E38,2207
九,U+4E5D,2208
云,U+4E91,2209
伫,U+4F2B,2210
佛,U+4F5B,2211
侄,U+4F84,2212
侦,U+4FA6,2213
刨,U+5228,2214
卑,U+5351,2215
叩,U+53E9,2216
吟,U+541F,2217
咽,U+54BD,2218
售,U+552E,2219
啸,U+5578,2220
善,U+5584,2221
喉,U+5589,2222
嘭,U+562D,2223
噫,U+566B,2224
囊,U+56CA,2225
団,U+56E3,2226
圾,U+573E,2227
坞,U+575E,2228
垃,U+5783,2229
垢,U+57A2,2230
垫,U+57AB,2231
埃,U+57C3,2232
培,U+57F9,2233
塌,U+584C,2234
墨,U+58A8,2235
壮,U+58EE,2236
奔,U+5954,2237
妒,U+5992,2238
姑,U+59D1,2239
嫉,U+5AC9,2240
孵,U+5B75,2241
尚,U+5C1A,2242
岩,U+5CA9,2243
巅,U+5DC5,2244
川,U+5DDD,2245
庞,U+5E9E,2246
廊,U+5ECA,2247
弊,U+5F0A,2248
征,U+5F81,2249
律,U+5F8B,2250
惩,U+60E9,2251
扛,U+625B,2252
拆,U+62C6,2253
拌,U+62CC,2254
挪,U+632A,2255
挽,U+633D,2256
掳,U+63B3,2257
揺,U+63FA,2258
摘,U+6458,2259
政,U+653F,2260
旺,U+65FA,2261
昂,U+6602,2262
杂,U+6742,2263
杖,U+6756,2264
柯,U+67EF,2265
椅,U+6905,2266
榴,U+69B4,2267
橙,U+6A59,2268
欣,U+6B23,2269
殊,U+6B8A,2270
氧,U+6C27,2271
浓,U+6D53,2272
浮,U+6D6E,2273
润,U+6DA6,2274
淇,U+6DC7,2275
添,U+6DFB,2276
渴,U+6E34,2277
溃,U+6E83,2278
漠,U+6F20,2279
炎,U+708E,2280
烤,U+70E4,2281
狙,U+72D9,2282
玻,U+73BB,2283
璃,U+7483,2284
皂,U+7682,2285
盆,U+76C6,2286
盘,U+76D8,2287
瞪,U+77AA,2288
矗,U+77D7,2289
砰,U+7830,2290
碾,U+78BE,2291
祓,U+7953,2292
秃,U+79C3,2293
竹,U+7AF9,2294
笔,U+7B14,2295
笼,U+7B3C,2296
筋,U+7B4B,2297
筝,U+7B5D,2298
箍,U+7B8D,2299
粘,U+7C98,2300
編,U+7DE8,2301
纯,U+7EAF,2302
纵,U+7EB5,2303
绅,U+7EC5,2304
绕,U+7ED5,2305
综,U+7EFC,2306
罐,U+7F50,2307
羽,U+7FBD,2308
聘,U+8058,2309
肃,U+8083,2310
肢,U+80A2,2311
肤,U+80A4,2312
胁,U+80C1,2313
腋,U+814B,2314
腔,U+8154,2315
膀,U+8180,2316
良,U+826F,2317
艳,U+8273,2318
芥,U+82A5,2319
茎,U+830E,2320
茫,U+832B,2321
营,U+8425,2322
蓄,U+84C4,2323
蝶,U+8776,2324
螈,U+8788,2325
衅,U+8845,2326
街,U+8857,2327
衰,U+8870,2328
袱,U+88B1,2329
诲,U+8BF2,2330
谊,U+8C0A,2331
谐,U+8C10,2332
谨,U+8C28,2333
账,U+8D26,2334
质,U+8D28,2335
资,U+8D44,2336
赞,U+8D5E,2337
赴,U+8D74,2338
趁,U+8D81,2339
跆,U+8DC6,2340
踪,U+8E2A,2341
踵,U+8E35,2342
蹄,U+8E44,2343
躁,U+8E81,2344
躬,U+8EAC,2345
逢,U+9022,2346
邻,U+90BB,2347
酬,U+916C,2348
钓,U+9493,2349
钙,U+9499,2350
钮,U+94AE,2351
链,U+94FE,2352
锦,U+9526,2353
長,U+9577,2354
隊,U+968A,2355
青,U+9752,2356
革,U+9769,2357
鞠,U+97A0,2358
骚,U+9A9A,2359
髦,U+9AE6,2360
鳅,U+9CC5,2361
鳍,U+9CCD,2362
鹅,U+9E45,2363
麦,U+9EA6,2364
默,U+9ED8,2365
丼,U+4E3C,2366
亿,U+4EBF,2367
仍,U+4ECD,2368
伍,U+4F0D,2369
伎,U+4F0E,2370
伽,U+4F3D,2371
供,U+4F9B,2372
侬,U+4FAC,2373
促,U+4FC3,2374
俏,U+4FCF,2375
俗,U+4FD7,2376
偿,U+507F,2377
催,U+50AC,2378
兆,U+5146,2379
共,U+5171,2380
冈,U+5188,2381
冠,U+51A0,2382
凳,U+51F3,2383
削,U+524A,2384
劣,U+52A3,2385
匹,U+5339,2386
厕,U+5395,2387
吽,U+543D,2388
咙,U+5499,2389
咧,U+54A7,2390
哝,U+54DD,2391
喀,U+5580,2392
喏,U+558F,2393
嘀,U+5600,2394
嘘,U+5618,2395
噼,U+567C,2396
嚣,U+56A3,2397
囱,U+56F1,2398
址,U+5740,2399
均,U+5747,2400
坛,U+575B,2401
垂,U+5782,2402
堆,U+5806,2403
場,U+5834,2404
堵,U+5835,2405
増,U+5897,2406
壊,U+58CA,2407
壶,U+58F6,2408
変,U+5909,2409
奸,U+5978,2410
妃,U+5983,2411
委,U+59D4,2412
娇,U+5A07,2413
娶,U+5A36,2414
婴,U+5A74,2415
婿,U+5A7F,2416
嫩,U+5AE9,2417
孤,U+5B64,2418
宗,U+5B97,2419
官,U+5B98,2420
宴,U+5BB4,2421
宵,U+5BB5,2422
宽,U+5BBD,2423
富,U+5BCC,2424
寐,U+5BD0,2425
寸,U+5BF8,2426
屈,U+5C48,2427
帘,U+5E18,2428
帜,U+5E1C,2429
建,U+5EFA,2430
循,U+5FAA,2431
怅,U+6005,2432
恳,U+6073,2433
悉,U+6089,2434
悩,U+60A9,2435
惆,U+60C6,2436
愁,U+6101,2437
愣,U+6123,2438
慈,U+6148,2439
慕,U+6155,2440
慰,U+6170,2441
执,U+6267,2442
折,U+6298,2443
抜,U+629C,2444
抠,U+62A0,2445
抬,U+62AC,2446
拐,U+62D0,2447
拣,U+62E3,2448
挚,U+631A,2449
挣,U+6323,2450
掀,U+6380,2451
掐,U+6390,2452
掘,U+6398,2453
描,U+63CF,2454
搬,U+642C,2455
摊,U+644A,2456
攒,U+6512,2457
敏,U+654F,2458
旧,U+65E7,2459
晒,U+6652,2460
暖,U+6696,2461
朵,U+6735,2462
朽,U+673D,2463
杉,U+6749,2464
枫,U+67AB,2465
柿,U+67FF,2466
株,U+682A,2467
栽,U+683D,2468
框,U+6846,2469
桥,U+6865,2470
梭,U+68AD,2471
椒,U+6912,2472
椙,U+6919,2473
槟,U+69DF,2474
欠,U+6B20,2475
汹,U+6C79,2476
汽,U+6C7D,2477
沾,U+6CBE,2478
泣,U+6CE3,2479
泥,U+6CE5,2480
洪,U+6D2A,2481
涮,U+6DAE,2482
涵,U+6DB5,2483
淌,U+6DCC,2484
淤,U+6DE4,2485
渗,U+6E17,2486
澄,U+6F84,2487
炉,U+7089,2488
熔,U+7194,2489
牢,U+7262,2490
牵,U+7275,2491
狭,U+72ED,2492
狮,U+72EE,2493
猎,U+730E,2494
玫,U+73AB,2495
珀,U+73C0,2496
瑰,U+7470,2497
疙,U+7599,2498
痴,U+75F4,2499
瘦,U+7626,2500
瘩,U+7629,2501
瘴,U+7634,2502
盐,U+76D0,2503
监,U+76D1,2504
盼,U+76FC,2505
瞒,U+7792,2506
矜,U+77DC,2507
硫,U+786B,2508
碳,U+78B3,2509
祈,U+7948,2510
票,U+7968,2511
穗,U+7A57,2512
窍,U+7A8D,2513
籽,U+7C7D,2514
粒,U+7C92,2515
绊,U+7ECA,2516
绍,U+7ECD,2517
绑,U+7ED1,2518
绪,U+7EEA,2519
绳,U+7EF3,2520
缓,U+7F13,2521
罩,U+7F69,2522
翔,U+7FD4,2523
翩,U+7FE9,2524
耸,U+8038,2525
肽,U+80BD,2526
肾,U+80BE,2527
肿,U+80BF,2528
脉,U+8109,2529
腺,U+817A,2530
膊,U+818A,2531
膏,U+818F,2532
膜,U+819C,2533
芝,U+829D,2534
芽,U+82BD,2535
苍,U+82CD,2536
苔,U+82D4,2537
荆,U+8346,2538
荷,U+8377,2539
